ID No.,Name_en,Region,Country,Location,Date_inscribed,Danger,Endangered Year,Date_end,Category,area_hectares,iso_code,udnp_code,short_description_en
208,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Asia and the Pacific,Afghanistan,"Lat: 34.84694, Lon: 67.82525",2003,1,2003,,Cultural,158.9265,af,afg," The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001. "
211,Minaret and Archaeological Remains of Jam,Asia and the Pacific,Afghanistan,"Lat: 34.39641667, Lon: 64.51588889",2002,1,2002,,Cultural,70,af,afg," The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province. "
569,Historic Centres of Berat and Gjirokastra ,Europe and North America,Albania,"Lat: 40.06944444, Lon: 20.13333333",2005,0,,,Cultural,58.9,al,alb," Berat and Gjirokastra are inscribed as rare examples of an architectural character typical of the Ottoman period. Located in central Albania, Berat bears witness to the coexistence of various religious and cultural communities down the centuries. It features a castle, locally known as the Kala, most of which was built in the 13th century, although its origins date back to the 4th century BC. The citadel area numbers many Byzantine churches, mainly from the 13th century, as well as several mosques built under the Ottoman era which&nbsp;began&nbsp;in 1417. Gjirokastra, in the Drinos river valley in southern Albania, features a series of outstanding two-story&nbsp;houses which were developed in the 17th century. The town also retains a bazaar, an 18th-century mosque and two churches of the same period. "
570,Butrint,Europe and North America,Albania,"Lat: 39.75111111, Lon: 20.02611111",1992,0,,2005,Cultural,,al,alb," Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city&rsquo;s development. "
102,Al Qal'a of Beni Hammad,Arab States,Algeria,"Lat: 35.81844, Lon: 4.78684",1980,0,,,Cultural,150,dz,dza," In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria. "
179,Tassili n'Ajjer,Arab States,Algeria,"Lat: 25.5, Lon: 9.0",1982,0,,,Mixed,7200000,dz,dza," Located in a strange lunar landscape of great geological interest, this site has one of the most important groupings of prehistoric cave art in the world. More than 15,000 drawings and engravings record the climatic changes, the animal migrations and the evolution of human life on the edge of the Sahara from 6000 BC to the first centuries of the present era. The geological formations are of outstanding scenic interest, with eroded sandstones forming ‘forests of rock’. "
188,M'Zab Valley,Arab States,Algeria,"Lat: 32.48333, Lon: 3.68333",1982,0,,,Cultural,665.03,dz,dza," A traditional human habitat, created in the 10th century by the Ibadites around their five <em>ksour</em> (fortified cities), has been preserved intact in the M’Zab valley. Simple, functional and perfectly adapted to the environment, the architecture of M’Zab was designed for community living, while respecting the structure of the family. It is a source of inspiration for today’s urban planners. "
191,Djémila,Arab States,Algeria,"Lat: 36.32056, Lon: 5.73667",1982,0,,,Cultural,30.6,dz,dza," Situated 900 m above sea-level, Dj&eacute;mila, or Cuicul, with its forum, temples, basilicas, triumphal arches and houses, is an interesting example of Roman town planning adapted to a mountain location. "
193,Tipasa,Arab States,Algeria,"Lat: 36.55, Lon: 2.383333333",1982,0,,2006,Cultural,52.16,dz,dza," On the shores of the Mediterranean, Tipasa was an ancient Punic trading-post conquered by Rome and turned into a strategic base for the conquest of the kingdoms of Mauritania. It comprises a unique group of Phoenician, Roman, palaeochristian and Byzantine ruins alongside indigenous monuments such as the Kbor er Roumia, the great royal mausoleum of Mauretania. "
194,Timgad,Arab States,Algeria,"Lat: 35.48416667, Lon: 6.468861111",1982,0,,,Cultural,90.54,dz,dza," Timgad lies on the northern slopes of the Aurès mountains and was created <em>ex nihilo</em> as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the <em>cardo</em> and <em>decumanus</em>, the two perpendicular routes running through the city, it is an excellent example of Roman town planning. "
